TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
North Macedonia,5906,148,277,9,2236,3393,55,2835,133,57895,27789,2083375,Europe
Kenya,5811,278,141,4,1936,3734,18,108,3,162478,3023,53748171,Africa
Tajikistan,5799,52,52,0,4391,1356,0,608,5,0,0,9533413,Asia
El Salvador,5727,210,143,10,3447,2137,172,883,22,155301,23945,6485855,North America
Haiti,5722,179,98,2,641,4983,0,502,9,11332,994,11400535,North America
Ethiopia,5570,145,94,5,2015,3461,34,48,0.8,243016,2115,114903773,Africa
Guinea,5260,0,29,0,4155,1076,24,401,2,14407,1098,13124855,Africa
Gabon,5209,0,40,0,2327,2842,10,2341,18,34774,15631,2224664,Africa
Venezuela,4779,0,41,0,1327,3411,9,168,1,1190307,41858,28436486,South America
Djibouti,4643,0,52,0,4348,243,0,4700,53,45998,46567,987776,Africa
Bulgaria,4513,0,215,0,2457,1841,18,649,31,131043,18859,6948680,Europe
Kyrgyzstan,4513,309,46,3,2212,2255,30,692,7,199853,30641,6522410,Asia
Luxembourg,4217,44,110,0,3978,129,1,6738,176,172292,275310,625810,Europe
Hungary,4138,11,578,0,2681,879,11,428,60,270263,27976,9660521,Europe
Bosnia and Herzegovina,3935,0,178,0,2338,1419,4,1199,54,88548,26989,3280924,Europe
Mauritania,3907,0,120,0,1280,2507,21,841,26,13842,2979,4646990,Africa
French Guiana,3461,191,12,1,1249,2200,21,11594,40,8061,27004,298515,South America
CAR,3429,89,45,5,699,2685,2,710,9,23208,4807,4828335,Africa
Greece,3366,23,191,0,1374,1801,11,323,18,301144,28891,10423348,Europe
Thailand,3162,0,58,0,3053,51,1,45,0.8,468175,6708,69798329,Asia
Costa Rica,2979,143,13,1,1325,1641,5,585,3,38500,7559,5093524,North America
Somalia,2878,0,90,0,868,1920,2,181,6,0,0,15883150,Africa
Croatia,2624,85,107,0,2152,365,0,639,26,75437,18375,4105397,Europe
Mayotte,2508,0,32,0,2218,258,8,9198,117,8800,32272,272679,Africa
Cuba,2330,5,86,1,2187,57,1,206,8,159571,14088,11326670,North America
Albania,2330,61,53,2,1346,931,12,810,18,22538,7832,2877821,Europe
Maldives,2305,22,8,0,1875,422,9,4266,15,47741,88347,540381,Asia
Nicaragua,2170,0,74,0,1238,858,0,328,11,0,0,6623436,North America
Mali,2118,58,113,0,1398,607,0,105,6,12807,633,20237294,Africa
Sri Lanka,2033,19,11,0,1639,383,1,95,0.5,101226,4727,21412328,Asia
Madagascar,2005,83,16,0,907,1082,21,72,0.6,20066,725,27675702,Africa
Equatorial Guinea,2001,0,32,0,515,1454,0,1427,23,16000,11414,1401811,Africa
Estonia,1986,0,69,0,1812,105,0,1497,52,105310,79388,1326527,Europe
South Sudan,1942,0,36,0,224,1682,1,174,3,10226,914,11191875,Africa
Iceland,1836,4,10,0,1814,12,0,5381,29,74424,218113,341218,Europe
Palestine,1815,258,4,1,446,1365,0,356,0.8,84621,16596,5099021,Asia
Lithuania,1813,5,78,0,1503,232,16,666,29,414792,152366,2722344,Europe
Lebanon,1719,22,33,0,1153,533,6,252,5,127693,18708,6825627,Asia
Paraguay,1711,0,13,0,1013,685,2,240,2,63974,8971,7131278,South America
Slovakia,1657,14,28,0,1455,174,0,304,5,207973,38093,5459620,Europe
Guinea-Bissau,1614,0,22,0,191,1401,5,821,11,1500,763,1967053,Africa
Slovenia,1572,14,109,0,1376,87,2,756,52,99688,47951,2078936,Europe
Zambia,1531,0,21,0,1233,277,1,83,1,52195,2841,18372230,Africa
New Zealand,1522,2,22,0,1484,16,0,304,4,387435,77454,5002100,Australia/Oceania
Sierra Leone,1410,16,59,0,937,414,0,177,7,0,0,7973963,Africa
Hong Kong,1198,1,7,0,1095,96,1,160,0.9,321498,42888,7496236,Asia
Tunisia,1168,4,50,0,1025,93,0,99,4,68542,5800,11816956,Africa
Benin,1124,71,14,0,295,815,2,93,1,55689,4596,12116284,Africa
Latvia,1115,3,30,0,932,153,1,591,16,146874,77865,1886257,Europe
Jordan,1111,7,9,0,841,261,3,109,0.9,369560,36225,10201800,Asia
Yemen,1103,14,296,3,417,390,0,37,10,120,4,29813140,Asia
Cabo Verde,1091,64,12,2,568,511,0,1963,22,1560,2806,555905,Africa
Congo,1087,0,37,0,456,594,0,197,7,0,0,5515246,Africa
Niger,1062,3,67,0,924,71,0,44,3,6449,267,24182675,Africa
Malawi,1005,0,13,0,260,732,4,53,0.7,12578,658,19119281,Africa
Cyprus,994,2,19,0,824,151,0,823,16,151975,125885,1207255,Asia
Burkina Faso,941,0,53,0,830,58,0,45,3,0,0,20890404,Africa
Georgia,921,2,14,0,781,126,5,231,4,101753,25507,3989222,Asia
Uruguay,919,0,26,0,818,75,2,265,7,62765,18069,3473611,South America
Chad,865,0,74,0,778,13,0,53,5,0,0,16414951,Africa
Rwanda,858,0,2,0,398,458,0,66,0.2,130047,10046,12945471,Africa
Andorra,855,0,52,0,799,4,0,11066,673,3750,48535,77264,Europe
Uganda,848,15,0,0,761,87,0,19,0,170789,3737,45705250,Africa
Mozambique,816,0,5,0,223,588,0,26,0.2,27123,868,31235488,Africa
Eswatini,745,17,8,0,370,367,5,642,7,6551,5647,1160003,Africa
Liberia,729,45,34,0,291,404,0,144,7,0,0,5055266,Africa
Libya,713,0,18,0,142,553,0,104,3,23075,3359,6869884,Africa
Sao Tome and Principe,712,0,13,0,219,480,0,3250,59,1763,8047,219087,Africa
San Marino,698,0,42,0,656,0,0,20572,1238,5669,167079,33930,Europe
Jamaica,686,2,10,0,539,137,0,232,3,23331,7879,2961033,North America
Malta,670,0,9,0,635,26,0,1517,20,92517,209536,441532,Europe
Togo,591,0,14,0,395,182,2,71,2,29347,3547,8274788,Africa
Channel Islands,571,0,47,0,512,12,0,3285,270,10255,58990,173842,Europe
Zimbabwe,561,0,6,0,135,420,0,38,0.4,65704,4422,14859556,Africa
Réunion,520,3,2,0,472,46,3,581,2,17200,19213,895237,Africa
Tanzania,509,0,21,0,183,305,7,9,0.4,0,0,59695024,Africa
Montenegro,469,30,9,0,315,145,0,747,14,13186,20995,628065,Europe
Taiwan,447,0,7,0,435,5,0,19,0.3,76209,3200,23816384,Asia
Suriname,391,2,10,0,181,200,8,667,17,1165,1986,586565,South America
Vietnam,355,2,0,0,330,25,1,4,0,275000,2826,97327460,Asia
Mauritius,341,0,10,0,326,5,0,268,8,171792,135083,1271749,Africa
Isle of Man,336,0,24,0,312,0,0,3952,282,6158,72423,85028,Europe
Myanmar,293,0,6,0,216,71,0,5,0.1,71692,1318,54405596,Asia
Comoros,272,0,7,0,161,104,0,313,8,0,0,869247,Africa
Syria,256,1,9,1,102,145,0,15,0.5,0,0,17491838,Asia
Angola,244,32,10,0,81,153,6,7,0.3,10000,304,32841235,Africa
Martinique,242,0,14,0,98,130,0,645,37,0,0,375267,North America
Guyana,230,15,12,0,109,109,1,292,15,2423,3081,786512,South America
Mongolia,219,0,0,0,175,44,9,67,0,21651,6606,3277425,Asia
Cayman Islands,196,0,1,0,186,9,0,2983,15,22657,344798,65711,North America
Faeroe Islands,187,0,0,0,187,0,0,3827,0,12750,260944,48861,Europe
Guadeloupe,182,0,14,0,157,11,2,455,35,8239,20591,400123,North America
Gibraltar,177,1,0,0,176,1,0,5254,0,12446,369416,33691,Europe
Eritrea,167,0,0,0,53,114,0,47,0,0,0,3545675,Africa
Bermuda,146,0,9,0,133,4,1,2344,145,10634,170748,62279,North America
Burundi,144,0,1,0,93,50,0,12,0.08,382,32,11882372,Africa
Brunei ,141,0,3,0,138,0,0,322,7,28707,65627,437425,Asia
Cambodia,139,9,0,0,129,10,1,8,0,34316,2053,16715449,Asia
Namibia,136,15,0,0,22,114,1,54,0,8428,3318,2540103,Africa
Trinidad and Tobago,124,0,8,0,109,7,0,89,6,4861,3474,1399444,North America
Bahamas,104,0,11,0,84,9,1,264,28,2366,6017,393195,North America
Monaco,103,1,4,0,95,4,0,2625,102,16200,412855,39239,Europe
Aruba,101,0,3,0,98,0,0,946,28,2333,21853,106761,North America
Barbados,97,0,7,0,90,0,1,338,24,7675,26708,287372,North America
Botswana,92,0,1,0,25,66,1,39,0.4,36868,15684,2350747,Africa
Liechtenstein,82,0,1,0,81,0,0,2151,26,900,23605,38127,Europe
Sint Maarten,77,0,15,0,62,0,0,1796,350,477,11127,42869,North America
Bhutan,75,5,0,0,38,37,0,97,0,23988,31093,771491,Asia
Antigua and Barbuda,65,0,3,0,22,40,1,664,31,680,6945,97919,North America
French Polynesia,60,0,0,0,60,0,0,214,0,4649,16551,280890,Australia/Oceania
Macao,46,0,0,0,45,1,0,71,0,0,0,649201,Asia
Gambia,44,1,2,0,26,16,0,18,0.8,2035,843,2415119,Africa
Saint Martin,42,0,3,0,36,3,1,1087,78,685,17721,38655,North America
St. Vincent Grenadines,29,0,0,0,29,0,0,261,0,784,7067,110937,North America
Belize,24,1,2,0,18,4,0,60,5,2188,5504,397502,North America
Lesotho,24,0,0,0,4,20,0,11,0,3000,1401,2142043,Africa
Timor-Leste,24,0,0,0,24,0,0,18,0,1568,1190,1317995,Asia
Curaçao,23,0,1,0,19,3,0,140,6,1080,6582,164086,North America
Grenada,23,0,0,0,23,0,0,204,0,4130,36705,112518,North America
New Caledonia,21,0,0,0,21,0,0,74,0,8260,28936,285462,Australia/Oceania
Laos,19,0,0,0,19,0,0,3,0,14304,1966,7273919,Asia
Saint Lucia,19,0,0,0,19,0,0,103,0,1619,8817,183618,North America
Dominica,18,0,0,0,18,0,0,250,0,623,8655,71984,North America
Fiji,18,0,0,0,18,0,0,20,0,4000,4462,896368,Australia/Oceania
Turks and Caicos,16,0,1,0,11,4,0,413,26,562,14519,38709,North America
Saint Kitts and Nevis,15,0,0,0,15,0,0,282,0,447,8403,53195,North America
Falkland Islands,13,0,0,0,13,0,0,3738,0,1027,295285,3478,South America
Greenland,13,0,0,0,13,0,0,229,0,3341,58853,56769,North America
Vatican City,12,0,0,0,12,0,0,14981,0,0,0,801,Europe
Montserrat,11,0,1,0,10,0,0,2204,200,61,12220,4992,North America
Papua New Guinea,11,0,0,0,8,3,0,1,0,5637,630,8943994,Australia/Oceania
Seychelles,11,0,0,0,11,0,0,112,0,0,0,98340,Africa
Western Sahara,10,0,1,0,8,1,0,17,2,0,0,597032,Africa
British Virgin Islands,8,0,1,0,7,0,0,265,33,212,7013,30229,North America
Caribbean Netherlands,7,0,0,0,7,0,0,267,0,424,16171,26220,North America
St. Barth,6,0,0,0,6,0,0,607,0,152,15389,9877,North America
Anguilla,3,0,0,0,3,0,0,200,0,180,11999,15001,North America
Saint Pierre Miquelon,1,0,0,0,1,0,0,173,0,0,0,5794,North America
China,83483,21,4634,0,78444,405,8,58,3,90410000,62814,1439323776,Asia
