TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
Guinea,4484,58,25,1,3213,1246,24,342,2,14407,1099,13112156,Africa
Djibouti,4449,8,41,3,2823,1585,0,4506,42,40855,41382,987266,Africa
Hungary,4064,11,559,4,2476,1029,20,421,58,230139,23820,9661388,Europe
Luxembourg,4063,8,110,0,3922,31,0,6496,176,106062,169578,625448,Europe
Haiti,3941,0,64,0,24,3853,0,346,6,8081,709,11395599,North America
North Macedonia,3895,194,179,8,1705,2011,34,1870,86,42262,20285,2083378,Europe
El Salvador,3603,122,72,4,1738,1793,126,556,11,120941,18650,6484695,North America
Gabon,3463,0,23,0,1024,2416,17,1558,10,19517,8780,2222794,Africa
Kenya,3457,152,100,4,1221,2136,7,64,2,112171,2089,53706004,Africa
Bulgaria,3266,75,172,0,1723,1371,16,470,25,103077,14830,6950527,Europe
Ethiopia,3166,251,55,8,495,2616,39,28,0.5,176504,1537,114802321,Africa
Thailand,3134,5,58,0,2987,89,1,45,0.8,468175,6708,69792125,Asia
Greece,3112,4,183,0,1374,1555,13,299,18,247452,23736,10425147,Europe
Venezuela,2904,25,24,1,487,2393,1,102,0.8,1066791,37511,28439335,South America
Bosnia and Herzegovina,2893,0,163,0,2119,611,4,882,50,75171,22906,3281645,Europe
Somalia,2579,66,87,2,559,1933,2,163,5,0,0,15867340,Africa
Mayotte,2282,14,28,0,1790,464,12,8376,103,8800,32300,272445,Africa
Croatia,2251,2,107,0,2134,10,0,548,26,69967,17039,4106292,Europe
Cuba,2238,5,84,0,1923,231,5,198,7,131628,11621,11326915,North America
Kyrgyzstan,2207,41,27,1,1722,458,11,339,4,147454,22621,6518583,Asia
CAR,2057,13,7,0,363,1687,2,426,1,18921,3921,4825349,Africa
Maldives,2013,10,8,0,1217,788,9,3727,15,28940,53588,540042,Asia
Estonia,1973,3,69,0,1705,199,0,1487,52,95000,71617,1326496,Europe
Sri Lanka,1884,4,11,0,1252,621,1,88,0.5,84802,3961,21409146,Asia
Iceland,1808,1,10,0,1794,4,0,5300,29,63124,185039,341139,Europe
Mali,1776,24,104,3,1058,614,0,88,5,3483,172,20216492,Africa
Lithuania,1763,7,75,1,1416,272,17,647,28,360670,132420,2723683,Europe
South Sudan,1693,23,27,3,49,1617,0,151,2,3356,300,11187215,Africa
Mauritania,1682,110,83,2,311,1288,25,362,18,7654,1649,4642634,Africa
Costa Rica,1662,50,12,0,743,907,3,326,2,31763,6238,5091874,North America
Slovakia,1545,3,28,0,1410,107,0,283,5,196244,35945,5459526,Europe
New Zealand,1504,0,22,0,1482,0,0,301,4,307810,61536,5002100,Australia/Oceania
Slovenia,1492,2,109,0,1359,24,0,718,52,88463,42552,2078926,Europe
Nicaragua,1464,0,55,0,953,456,0,221,8,0,0,6620637,North America
Albania,1464,48,36,0,1039,389,7,509,13,17888,6216,2877932,Europe
Guinea-Bissau,1460,0,15,0,153,1292,5,743,8,1500,763,1965396,Africa
Lebanon,1442,20,32,1,868,542,9,211,5,105264,15419,6826708,Asia
Zambia,1357,36,10,0,1104,243,1,74,0.5,28236,1538,18353872,Africa
Equatorial Guinea,1306,0,12,0,200,1094,0,933,9,8268,5905,1400166,Africa
Paraguay,1261,7,11,0,647,603,2,177,2,46608,6539,7128166,South America
Madagascar,1252,22,10,0,362,880,9,45,0.4,15495,560,27650334,Africa
French Guiana,1161,118,2,0,520,639,6,3893,7,277,929,298239,South America
Sierra Leone,1132,29,51,0,670,411,0,142,6,0,0,7968190,Africa
Hong Kong,1110,1,4,0,1061,45,3,148,0.5,241992,32291,7494079,Asia
Latvia,1097,1,28,1,845,224,1,581,15,126054,66802,1886992,Europe
Tunisia,1094,1,49,0,995,50,0,93,4,58770,4975,11812566,Africa
Niger,980,2,66,1,881,33,0,41,3,6275,260,24151361,Africa
Cyprus,980,0,18,0,807,155,4,812,15,140126,116100,1206943,Asia
Jordan,953,38,9,0,678,266,5,93,0.9,266873,26169,10198205,Asia
Burkina Faso,892,0,53,0,799,40,0,43,3,0,0,20869969,Africa
Andorra,853,0,51,0,781,21,8,11041,660,3750,48537,77260,Europe
Georgia,851,8,14,1,702,135,6,213,4,73893,18522,3989493,Asia
Chad,848,0,72,0,718,58,0,52,4,0,0,16398142,Africa
Uruguay,847,0,23,0,784,40,3,244,7,52862,15220,3473184,South America
Congo,728,0,24,0,221,483,0,132,4,0,0,5510407,Africa
Cabo Verde,726,29,6,0,294,426,0,1306,11,1307,2352,555690,Africa
Yemen,705,73,160,21,39,506,0,24,5,120,4,29789754,Asia
San Marino,694,0,42,0,520,132,1,20455,1238,5238,154386,33928,Europe
Uganda,694,8,0,0,219,475,0,15,0,142819,3128,45653693,Africa
Sao Tome and Principe,659,20,12,0,176,471,0,3010,55,1453,6636,218942,Africa
Malta,646,1,9,0,601,36,1,1463,20,80953,183363,441490,Europe
Jamaica,614,3,10,0,417,187,2,207,3,15850,5354,2960575,North America
Channel Islands,565,0,48,0,512,5,0,3251,276,10255,59009,173786,Europe
Mozambique,553,44,2,0,151,400,0,18,0.06,18061,579,31204265,Africa
Rwanda,541,31,2,0,332,207,0,42,0.2,87656,6777,12934032,Africa
Togo,530,5,13,0,291,226,1,64,2,25401,3072,8267878,Africa
Malawi,529,48,5,1,66,458,4,28,0.3,6690,350,19101665,Africa
Tanzania,509,0,21,0,183,305,7,9,0.4,0,0,59634349,Africa
Palestine,489,0,3,0,415,71,0,96,0.6,44876,8808,5094798,Asia
Réunion,489,1,1,0,460,28,2,546,1,17200,19218,895010,Africa
Eswatini,486,14,3,0,247,236,5,419,3,6551,5649,1159577,Africa
Liberia,446,25,32,0,214,200,0,88,6,0,0,5051032,Africa
Taiwan,443,0,7,0,431,5,0,19,0.3,73751,3097,23814858,Asia
Libya,418,9,8,2,62,348,0,61,1,12867,1874,6866565,Africa
Benin,412,24,6,1,222,184,2,34,0.5,45758,3780,12104967,Africa
Zimbabwe,356,13,4,0,54,298,0,24,0.3,52905,3562,14851867,Africa
Mauritius,337,0,10,0,325,2,0,265,8,137789,108352,1271674,Africa
Isle of Man,336,0,24,0,312,0,0,3952,282,5484,64509,85012,Europe
Vietnam,334,1,0,0,323,11,1,3,0,275000,2826,97296384,Asia
Montenegro,324,0,9,0,315,0,0,516,14,13186,20995,628063,Europe
Myanmar,261,0,6,0,167,88,0,5,0.1,45926,844,54392661,Asia
Martinique,202,0,14,0,98,90,0,538,37,0,0,375278,North America
Mongolia,197,0,0,0,95,102,11,60,0,17605,5375,3275549,Asia
Suriname,196,9,3,0,9,184,2,334,5,1165,1987,586379,South America
Cayman Islands,187,0,1,0,115,71,0,2847,15,17227,262271,65684,North America
Faeroe Islands,187,0,0,0,187,0,0,3828,0,10977,224685,48855,Europe
Comoros,176,13,2,0,114,60,0,203,2,0,0,868587,Africa
Gibraltar,176,0,0,0,173,3,0,5224,0,10091,299516,33691,Europe
